Id,Img Id,Da,Dp,FWidth,FLength,FThickness,ELength,EThickness,EWidth,Volume,Area,Perimeter,CHull  Area,CHull Perimeter,Sphericity,L/T Ratio,T/L Aspect Ratio,Compactness,Roundness,Ellipse Ratio,Circularity,Solidity,Concavity,Convexity,Extent,hash,Transparency,Curvature,Surface Area,Filter0,Filter1,Filter2,Filter3,Filter4,Filter5,Filter6,L/W Ratio,W/L Ratio,W/T Ratio,T/W Ratio,CHull Surface Area,Sieve,Angularity,Ellipticity,Fiber Length,Fiber Width
 , ,mm,mm,mm,mm,mm,mm,mm,mm,mm³,mm²,mm,mm²,mm, , , , , , , , , , , , , , ,mm², , , , , , , , , , , ,mm²,mm, , ,mm,mm
5314,9169,3.783,4.326,4.096,5.188,2.614,5.037,2.526,4.12,29.083,11.242,13.592,11.9,12.96,0.874,1.985,0.504,0.729,0.532,0.502,0.765,0.945,0.055,0.954,0.829,0,0.173,0,44.967,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.266,0.79,1.567,0.638,47.6,3.355,24.533,1.994,5.93,2.043
1517,5624,2.595,2.68,2.638,2.909,2.101,2.893,2.12,2.627,8.443,5.287,8.42,5.328,8.39,0.968,1.384,0.722,0.892,0.796,0.733,0.937,0.992,0.008,0.996,0.865,0,0.22,0,21.149,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.102,0.907,1.256,0.796,21.312,2.37,16.129,1.364,0,0
1564,5672,2.738,3.076,2.513,4.363,2.022,4.291,1.959,2.408,11.609,5.889,9.662,6.174,9.482,0.89,2.158,0.463,0.628,0.394,0.457,0.793,0.954,0.046,0.981,0.667,0,0.161,0,23.555,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.737,0.576,1.242,0.805,24.696,2.267,20,2.19,3.762,1.775
2347,6621,2.544,3.257,2.384,3.62,2.02,3.792,1.946,2.336,9.125,5.084,10.233,5.816,9.295,0.781,1.792,0.558,0.703,0.494,0.513,0.61,0.874,0.126,0.908,0.695,0,0.258,0.377,20.338,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.519,0.659,1.18,0.848,23.264,2.202,27.193,1.948,4.417,0.942
971,4971,2.788,3.561,2.431,4.227,1.983,4.709,1.839,2.272,10.666,6.107,11.186,7.062,10.326,0.783,2.132,0.469,0.66,0.435,0.391,0.613,0.865,0.135,0.923,0.729,0,0.152,0,24.427,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.739,0.575,1.226,0.816,28.247,2.207,22.353,2.561,4.785,1.179
8661,12086,2.241,2.457,2.181,2.997,1.94,2.759,2.012,2.143,6.637,3.944,7.719,4.15,7.449,0.912,1.545,0.647,0.748,0.559,0.729,0.832,0.95,0.05,0.965,0.679,0,0.167,0,15.777,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.374,0.728,1.124,0.89,16.6,2.06,22.444,1.371,2.196,1.874
1345,5416,2.335,2.512,2.208,3.289,1.933,3.231,1.892,2.157,7.349,4.283,7.893,4.367,7.804,0.929,1.702,0.588,0.71,0.504,0.586,0.864,0.981,0.019,0.989,0.674,0,0.169,0,17.13,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.49,0.671,1.142,0.876,17.47,2.07,17.895,1.708,0,0
6853,10348,1.856,2.66,2.109,3.154,1.911,3.173,1.738,2.099,6.655,2.706,8.355,3.479,7.361,0.698,1.651,0.606,0.589,0.346,0.548,0.487,0.778,0.222,0.881,0.449,0,0.427,2.084,10.823,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.495,0.669,1.104,0.906,13.917,2.01,27.576,1.825,4.293,0.873
8830,12240,2.128,2.23,2.074,2.63,1.871,2.443,1.855,2.072,5.344,3.558,7.006,3.623,6.948,0.954,1.405,0.712,0.809,0.655,0.759,0.911,0.982,0.018,0.992,0.723,0,0.174,0,14.232,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.268,0.788,1.108,0.903,14.491,1.973,20.882,1.317,0,0
3835,8015,2.492,2.74,2.225,3.46,1.869,3.594,1.793,2.161,7.533,4.876,8.607,5.065,8.45,0.909,1.851,0.54,0.72,0.519,0.499,0.827,0.963,0.037,0.982,0.754,0,0.347,0,19.503,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.555,0.643,1.19,0.84,20.261,2.047,26.829,2.004,2.681,1.809
2037,6255,2.51,2.654,2.543,3.244,1.86,3.187,1.863,2.457,8.032,4.947,8.338,5.017,8.287,0.946,1.744,0.573,0.774,0.599,0.585,0.894,0.986,0.014,0.994,0.82,0,0.174,0,19.786,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.276,0.784,1.367,0.731,20.07,2.201,18.333,1.711,0,0
4762,8702,2.355,2.493,2.073,3.458,1.859,3.456,1.875,2.077,6.977,4.355,7.831,4.402,7.792,0.945,1.861,0.537,0.681,0.464,0.542,0.892,0.989,0.011,0.995,0.677,0,0.175,0,17.419,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.668,0.599,1.115,0.897,17.609,1.966,16.765,1.843,0,0
423,4269,2.342,2.442,1.994,3.256,1.853,3.315,1.829,2.028,6.297,4.308,7.672,4.341,7.637,0.959,1.758,0.569,0.719,0.517,0.552,0.92,0.993,0.007,0.995,0.714,0,0.161,0,17.232,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.633,0.612,1.076,0.929,17.362,1.923,16.364,1.812,0,0
1491,5586,2.421,2.5,2.108,3.144,1.851,3.179,1.844,2.123,6.425,4.604,7.853,4.612,7.838,0.969,1.698,0.589,0.77,0.593,0.58,0.938,0.998,0.002,0.998,0.791,0,0.165,0,18.415,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.491,0.671,1.139,0.878,18.449,1.98,13.333,1.724,0,0
3538,7755,2.181,2.278,2.182,2.52,1.85,2.444,1.881,2.175,5.325,3.737,7.158,3.806,7.096,0.957,1.362,0.734,0.866,0.749,0.77,0.917,0.982,0.018,0.991,0.802,0,0.166,0,14.947,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.155,0.866,1.179,0.848,15.223,2.016,19.444,1.299,0,0
76,3729,2.059,2.163,1.93,2.681,1.838,2.597,1.821,1.886,4.978,3.331,6.794,3.405,6.712,0.952,1.459,0.686,0.768,0.59,0.701,0.907,0.978,0.022,0.988,0.676,0,0.282,0,13.322,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.389,0.72,1.05,0.952,13.618,1.884,20.556,1.426,0,0
2870,7150,2.085,2.651,1.95,3.42,1.831,3.581,1.691,1.915,6.393,3.414,8.329,3.928,7.637,0.786,1.868,0.535,0.61,0.372,0.472,0.618,0.869,0.131,0.917,0.545,0,0.207,0.095,13.655,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.754,0.57,1.065,0.939,15.712,1.89,26.19,2.118,3.763,1.004
2200,6447,2.333,3.194,2.249,3.404,1.829,3.881,1.73,2.067,7.331,4.275,10.034,5.054,8.546,0.73,1.861,0.537,0.685,0.47,0.446,0.534,0.846,0.154,0.852,0.687,0,0.226,0,17.099,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.514,0.661,1.229,0.813,20.216,2.039,24.107,2.243,4.38,1.019
5136,9003,2.12,2.205,1.907,2.6,1.822,2.616,1.774,1.941,4.731,3.528,6.929,3.555,6.893,0.961,1.427,0.701,0.815,0.665,0.678,0.924,0.992,0.008,0.995,0.745,0,0.159,0,14.113,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.363,0.734,1.047,0.955,14.221,1.865,21.622,1.475,0,0
6191,9827,2.201,2.324,1.934,3.142,1.81,3.046,1.742,1.922,5.758,3.804,7.301,3.835,7.269,0.947,1.736,0.576,0.701,0.491,0.572,0.897,0.992,0.008,0.996,0.669,0,0.271,0,15.217,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.625,0.616,1.068,0.936,15.341,1.872,22.647,1.749,0,0
3077,7375,1.959,2.09,1.825,2.68,1.8,2.682,1.767,1.798,4.608,3.014,6.565,3.058,6.521,0.937,1.489,0.672,0.731,0.534,0.659,0.879,0.986,0.014,0.993,0.625,0,0.162,0,12.056,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.469,0.681,1.014,0.987,12.232,1.812,20.938,1.518,0,0
1451,5536,1.969,2.083,1.932,2.358,1.779,2.311,1.784,1.901,4.242,3.044,6.545,3.13,6.414,0.945,1.326,0.754,0.835,0.697,0.772,0.893,0.973,0.027,0.98,0.726,0,0.171,0,12.178,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.221,0.819,1.086,0.921,12.52,1.855,23.659,1.295,0,0
776,4747,2.431,3.047,2.234,4.101,1.769,4.032,1.687,2.194,8.486,4.641,9.574,5.141,8.682,0.798,2.318,0.431,0.593,0.351,0.419,0.636,0.903,0.097,0.907,0.64,0,0.191,0.566,18.565,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.836,0.545,1.263,0.792,20.566,2.002,23.387,2.389,4.433,1.122
2526,6822,2.473,2.609,2.193,3.41,1.768,3.452,1.824,2.176,6.923,4.805,8.197,4.87,8.14,0.948,1.929,0.518,0.725,0.526,0.528,0.899,0.987,0.013,0.993,0.797,0,0.162,0,19.219,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.555,0.643,1.241,0.806,19.479,1.98,15.862,1.893,0,0
1064,5083,2.014,2.13,2.021,2.498,1.755,2.48,1.741,2.085,4.64,3.187,6.693,3.241,6.649,0.946,1.424,0.702,0.806,0.65,0.702,0.894,0.983,0.017,0.993,0.727,0,0.17,0,12.748,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.236,0.809,1.151,0.868,12.962,1.888,18.621,1.424,0,0
1221,5273,2.195,2.259,2.06,2.619,1.748,2.609,1.762,2.075,4.937,3.784,7.096,3.797,7.081,0.972,1.499,0.667,0.838,0.702,0.675,0.944,0.997,0.003,0.998,0.827,0,0.159,0,15.136,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.272,0.786,1.179,0.848,15.187,1.904,15.313,1.48,0,0
4680,8635,2.034,2.16,1.896,2.753,1.741,2.69,1.68,1.871,4.76,3.251,6.787,3.29,6.749,0.942,1.581,0.633,0.739,0.546,0.624,0.887,0.988,0.012,0.994,0.678,0,0.172,0,13.002,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.452,0.689,1.089,0.918,13.161,1.819,21.765,1.602,0,0
3831,8013,2.032,2.17,2,2.533,1.74,2.543,1.712,1.922,4.615,3.242,6.819,3.307,6.777,0.936,1.456,0.687,0.802,0.644,0.673,0.876,0.98,0.02,0.994,0.736,0,0.163,0,12.969,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.266,0.79,1.149,0.87,13.228,1.87,17.931,1.485,0,0
144,3841,2.356,2.532,1.797,3.367,1.74,3.549,1.751,1.903,5.51,4.361,7.954,4.414,7.911,0.931,1.935,0.517,0.7,0.49,0.493,0.866,0.988,0.012,0.995,0.745,0,0.169,0,17.444,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.874,0.534,1.033,0.968,17.657,1.768,16.207,2.027,0,0
6319,9929,2.336,3.261,2.026,3.566,1.738,3.774,1.588,1.903,6.574,4.287,10.245,5.093,8.793,0.716,2.052,0.487,0.655,0.429,0.421,0.513,0.842,0.158,0.858,0.692,0,0.377,0,17.15,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.76,0.568,1.166,0.858,20.372,1.882,21.087,2.376,4.385,0.957
3009,7309,2.267,2.536,2.376,3.25,1.736,3.101,1.622,2.416,7.02,4.036,7.968,4.234,7.738,0.894,1.872,0.534,0.698,0.487,0.523,0.799,0.953,0.047,0.971,0.715,0,0.31,0.32,16.144,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.368,0.731,1.368,0.731,16.936,2.056,24,1.912,2.658,1.273
943,4932,2.103,2.157,1.952,2.661,1.736,2.595,1.754,1.966,4.722,3.473,6.776,3.495,6.754,0.975,1.532,0.653,0.79,0.625,0.676,0.95,0.994,0.006,0.997,0.752,0,0.163,0,13.892,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.363,0.734,1.125,0.889,13.979,1.844,21.613,1.479,0,0
3395,7644,2.155,2.363,1.99,3.06,1.732,2.991,1.67,1.875,5.524,3.649,7.422,3.818,7.227,0.912,1.766,0.566,0.704,0.496,0.558,0.832,0.956,0.044,0.974,0.688,0,0.17,0,14.596,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.538,0.65,1.149,0.87,15.273,1.861,29.048,1.791,0,0
2300,6557,2.431,2.603,1.966,3.314,1.726,3.439,1.709,2.011,5.889,4.643,8.178,4.69,8.144,0.934,1.92,0.521,0.734,0.538,0.497,0.872,0.99,0.01,0.996,0.812,0,0.16,0,18.573,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.685,0.593,1.139,0.878,18.76,1.846,12,2.012,0,0
1079,5108,2.278,2.435,2.068,3.036,1.72,2.885,1.696,2.055,5.654,4.074,7.651,4.147,7.603,0.935,1.765,0.566,0.75,0.563,0.588,0.875,0.983,0.017,0.994,0.78,0,0.17,0,16.297,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.468,0.681,1.202,0.832,16.587,1.894,19.211,1.701,0,0
10032,13647,2.019,2.15,1.996,2.402,1.702,2.337,1.673,2.016,4.274,3.203,6.756,3.245,6.698,0.939,1.411,0.709,0.841,0.706,0.716,0.882,0.987,0.013,0.991,0.783,0,0.191,0,12.81,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.204,0.831,1.173,0.853,12.982,1.849,23.235,1.397,0,0
2686,6985,2.136,2.246,1.918,2.771,1.696,2.813,1.719,2.07,4.72,3.583,7.057,3.635,7.004,0.951,1.633,0.612,0.771,0.594,0.611,0.904,0.986,0.014,0.993,0.762,0,0.181,0,14.331,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.445,0.692,1.131,0.884,14.541,1.807,22.143,1.636,0,0
4527,8533,2.007,2.145,1.968,2.647,1.695,2.467,1.688,2.011,4.624,3.163,6.737,3.206,6.702,0.936,1.561,0.64,0.758,0.575,0.684,0.876,0.987,0.013,0.995,0.705,0,0.27,0,12.65,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.345,0.744,1.161,0.861,12.823,1.832,15,1.461,0,0
5152,9015,2.166,2.246,2.154,2.651,1.695,2.645,1.74,2.176,5.067,3.685,7.055,3.714,7.018,0.965,1.564,0.639,0.817,0.668,0.658,0.93,0.992,0.008,0.995,0.82,0,0.165,0,14.74,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.23,0.813,1.271,0.787,14.858,1.925,21.364,1.52,0,0
2163,6398,1.941,2.024,1.884,2.419,1.692,2.35,1.697,1.901,4.038,2.96,6.36,3.008,6.299,0.959,1.43,0.699,0.802,0.644,0.722,0.92,0.984,0.016,0.991,0.723,0,0.169,0,11.838,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.285,0.779,1.113,0.898,12.031,1.788,24.194,1.385,0,0
1008,5010,2.191,2.274,2.114,2.718,1.692,2.685,1.695,2.161,5.09,3.771,7.145,3.79,7.122,0.963,1.607,0.622,0.806,0.65,0.631,0.928,0.995,0.005,0.997,0.82,0,0.166,0,15.085,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.286,0.778,1.25,0.8,15.16,1.903,19.714,1.585,0,0
2606,6912,2.036,2.165,2.05,2.568,1.691,2.456,1.66,2.008,4.663,3.254,6.803,3.328,6.725,0.94,1.519,0.658,0.793,0.628,0.676,0.884,0.978,0.022,0.989,0.749,0,0.301,0,13.017,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.253,0.798,1.212,0.825,13.313,1.871,22.564,1.48,0,0
4175,8238,2.423,2.537,2.075,3.52,1.691,3.514,1.702,2.059,6.468,4.612,7.97,4.637,7.932,0.955,2.082,0.48,0.688,0.474,0.484,0.912,0.995,0.005,0.995,0.775,0,0.231,0,18.449,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.696,0.59,1.228,0.815,18.549,1.883,15.938,2.064,0,0
1777,5939,1.97,2.01,1.836,2.482,1.69,2.444,1.661,1.833,4.032,3.049,6.315,3.059,6.299,0.98,1.468,0.681,0.794,0.63,0.68,0.961,0.997,0.003,0.997,0.727,0,0.163,0,12.196,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.352,0.74,1.086,0.921,12.235,1.763,21.071,1.471,0,0
2238,6480,2.295,2.421,2.266,2.703,1.687,2.771,1.717,2.236,5.411,4.138,7.606,4.203,7.552,0.948,1.602,0.624,0.849,0.721,0.619,0.899,0.984,0.016,0.993,0.907,0,0.162,0,16.551,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.193,0.839,1.344,0.744,16.813,1.977,17.143,1.614,0,0
1284,5349,2.23,2.294,2.038,2.803,1.686,2.798,1.729,2.074,5.043,3.906,7.208,3.936,7.173,0.972,1.662,0.602,0.796,0.633,0.618,0.945,0.993,0.007,0.995,0.827,0,0.166,0,15.626,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.375,0.727,1.208,0.828,15.743,1.862,19.73,1.618,0,0
8971,12399,2.135,2.253,1.919,3.053,1.679,3.003,1.642,1.924,5.151,3.58,7.079,3.604,7.048,0.948,1.818,0.55,0.699,0.489,0.547,0.898,0.993,0.007,0.996,0.698,0,0.173,0,14.321,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.591,0.628,1.143,0.875,14.416,1.799,14.865,1.829,0,0
849,4837,2.376,2.609,1.896,3.912,1.677,4.169,1.652,1.869,6.513,4.433,8.197,4.478,8.153,0.911,2.332,0.429,0.607,0.369,0.396,0.829,0.99,0.01,0.995,0.676,0,0.174,0,17.733,Reject,Reject,Reject,Reject,Reject,Reject,Reject,2.063,0.485,1.13,0.885,17.913,1.787,21.026,2.524,2.987,1.93
9658,13138,1.929,1.977,1.932,2.271,1.677,2.209,1.7,1.909,3.852,2.921,6.212,2.93,6.2,0.975,1.355,0.738,0.849,0.721,0.77,0.951,0.997,0.003,0.998,0.767,0,0.164,0,11.684,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.176,0.85,1.152,0.868,11.721,1.804,18.333,1.3,0,0
3673,7868,2.193,2.264,2.188,2.635,1.677,2.609,1.723,2.199,5.06,3.777,7.112,3.812,7.05,0.969,1.571,0.636,0.832,0.693,0.661,0.938,0.991,0.009,0.991,0.855,0,0.196,0,15.108,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.204,0.83,1.305,0.766,15.247,1.932,27.931,1.514,0,0
