Id,Img Id,Da,Dp,FWidth,FLength,FThickness,ELength,EThickness,EWidth,Volume,Area,Perimeter,CHull  Area,CHull Perimeter,Sphericity,L/T Ratio,T/L Aspect Ratio,Compactness,Roundness,Ellipse Ratio,Circularity,Solidity,Concavity,Convexity,Extent,hash,Transparency,Curvature,Surface Area,Filter0,Filter1,Filter2,Filter3,Filter4,Filter5,Filter6,L/W Ratio,W/L Ratio,W/T Ratio,T/W Ratio,CHull Surface Area,Sieve,Angularity,Ellipticity,Fiber Length,Fiber Width
 , ,mm,mm,mm,mm,mm,mm,mm,mm,mm³,mm²,mm,mm²,mm, , , , , , , , , , , , , , ,mm², , , , , , , , , , , ,mm²,mm, , ,mm,mm
275,8829,6.125,6.366,5.935,7.535,5.431,7.136,5.438,6.108,127.167,29.467,19.999,29.603,19.818,0.962,1.387,0.721,0.813,0.661,0.762,0.926,0.995,0.005,0.991,0.72,0,0.095,0,117.866,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.269,0.788,1.093,0.915,118.41,5.683,28.75,1.312,0,0
598,13527,5.481,5.923,5.587,7.695,5.015,7.217,5.183,5.332,112.899,23.594,18.606,24.102,18.353,0.925,1.534,0.652,0.712,0.507,0.718,0.856,0.979,0.021,0.986,0.611,0,0.099,0,94.376,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.377,0.726,1.114,0.898,96.41,5.301,14.545,1.393,0,0
11,4792,5.51,5.917,5.175,7.517,4.832,7.046,4.833,5.126,98.425,23.845,18.59,24.293,18.316,0.931,1.556,0.643,0.733,0.537,0.686,0.867,0.982,0.018,0.985,0.656,0,0.112,0,95.378,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.453,0.688,1.071,0.934,97.17,5.004,21.341,1.458,0,0
15,4920,5.369,5.81,4.963,6.918,4.767,6.511,4.784,5,85.7,22.642,18.252,23.201,17.918,0.924,1.451,0.689,0.776,0.602,0.735,0.854,0.976,0.024,0.982,0.687,0,0.1,0,90.569,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.394,0.717,1.041,0.96,92.805,4.865,22.209,1.361,0,0
593,13387,5.992,6.429,5.979,7.821,4.708,7.226,4.809,6.012,115.268,28.203,20.197,28.612,20.013,0.932,1.661,0.602,0.766,0.587,0.666,0.869,0.986,0.014,0.991,0.766,0,0.095,0,112.81,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.308,0.764,1.27,0.787,114.45,5.343,17.5,1.503,0,0
308,9145,6.985,7.461,6.627,9.356,4.623,9.591,4.665,6.49,150.075,38.316,23.441,39.197,23.022,0.936,2.024,0.494,0.747,0.557,0.486,0.876,0.978,0.022,0.982,0.886,0,0.097,0,153.264,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.412,0.708,1.434,0.698,156.788,5.625,15.904,2.056,0,0
453,10702,6.189,6.971,5.95,10.009,4.561,9.31,4.636,5.387,142.236,30.08,21.899,31.056,21.492,0.888,2.194,0.456,0.618,0.382,0.498,0.788,0.969,0.031,0.981,0.659,0,0.101,0,120.319,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.682,0.594,1.305,0.767,124.225,5.256,14.239,2.008,8.15,4.233
18,5009,5.955,6.716,5.827,8.049,4.542,7.587,4.365,5.801,111.533,27.854,21.098,29.373,20.027,0.887,1.772,0.564,0.74,0.547,0.575,0.786,0.948,0.052,0.949,0.762,0,0.089,0,111.414,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.381,0.724,1.283,0.78,117.491,5.184,24.667,1.738,5.619,4.041
203,8038,6.361,6.708,5.706,9.221,4.516,9.12,4.599,5.586,124.424,31.782,21.074,31.95,20.882,0.948,2.042,0.49,0.69,0.476,0.504,0.899,0.995,0.005,0.991,0.763,0,0.095,0,127.129,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.616,0.619,1.263,0.792,127.799,5.111,16.5,1.983,0,0
575,12869,6.086,7.151,4.699,12.83,4.471,12.99,4.273,4.652,141.149,29.093,22.466,30.569,21.959,0.851,2.87,0.348,0.474,0.225,0.329,0.724,0.952,0.048,0.977,0.507,0,0.103,0,116.372,Reject,Reject,Reject,Reject,Reject,Reject,Reject,2.73,0.366,1.051,0.952,122.276,4.585,21.667,3.04,11.136,3.775
474,10995,5.77,5.997,5.257,7.578,4.444,7.544,4.361,5.397,92.707,26.149,18.839,26.259,18.584,0.962,1.705,0.586,0.761,0.58,0.578,0.926,0.996,0.004,0.986,0.776,0,0.164,0,104.598,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.441,0.694,1.183,0.845,105.037,4.851,21.707,1.73,0,0
21,5134,5.01,5.548,4.8,6.87,4.408,6.481,4.318,4.758,76.121,19.71,17.429,20.171,17.18,0.903,1.558,0.642,0.729,0.532,0.666,0.815,0.977,0.023,0.986,0.651,0,0.101,0,78.841,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.431,0.699,1.089,0.918,80.685,4.604,20.778,1.501,4.963,4.129
253,8575,5.426,6.097,4.625,8.596,4.383,8.472,4.183,4.558,91.244,23.126,19.153,23.744,18.726,0.89,1.961,0.51,0.631,0.398,0.494,0.792,0.974,0.026,0.978,0.614,0,0.1,0,92.503,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.859,0.538,1.055,0.948,94.975,4.504,21.875,2.025,6.823,4.013
587,13144,5.687,6.168,4.986,7.895,4.379,7.773,4.394,4.775,90.276,25.4,19.376,26.045,19.065,0.922,1.803,0.555,0.72,0.519,0.565,0.85,0.975,0.025,0.984,0.735,0,0.097,0,101.598,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.583,0.632,1.139,0.878,104.179,4.683,14.375,1.769,0,0
180,7677,5.395,5.845,5.567,6.755,4.374,6.446,4.286,5.431,86.123,22.857,18.361,23.398,18.099,0.923,1.545,0.647,0.799,0.638,0.665,0.852,0.977,0.023,0.986,0.774,0,0.096,0,91.427,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.213,0.824,1.273,0.786,93.592,4.97,18,1.504,0,0
342,9441,5.585,6.066,4.83,8.06,4.325,7.906,4.27,4.809,88.16,24.502,19.055,24.929,18.872,0.921,1.864,0.537,0.693,0.48,0.54,0.848,0.983,0.017,0.99,0.703,0,0.094,0,98.006,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.669,0.599,1.117,0.896,99.718,4.578,14.648,1.851,0,0
398,9967,5.37,5.769,5.03,7.484,4.288,7.405,4.338,4.903,84.524,22.652,18.125,23.042,17.859,0.931,1.745,0.573,0.718,0.515,0.586,0.866,0.983,0.017,0.985,0.706,0,0.106,0,90.609,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.488,0.672,1.173,0.853,92.169,4.659,16.842,1.707,0,0
449,10523,5.298,5.969,5.422,7.044,4.281,6.83,4.132,5.465,85.622,22.044,18.754,23.069,17.832,0.887,1.645,0.608,0.752,0.566,0.605,0.788,0.956,0.044,0.951,0.731,0,0.095,0,88.177,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.299,0.77,1.267,0.79,92.275,4.852,22.292,1.653,5.833,3.294
325,9290,5.256,5.575,5.485,6.024,4.265,5.959,4.125,5.365,73.798,21.696,17.515,22.216,17.297,0.943,1.413,0.708,0.872,0.761,0.692,0.889,0.977,0.023,0.988,0.844,0,0.095,0,86.782,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.098,0.91,1.286,0.778,88.865,4.875,17.049,1.444,0,0
261,8638,5.252,5.918,4.679,8.41,4.249,7.825,3.903,4.58,87.555,21.666,18.592,22.112,18.305,0.887,1.979,0.505,0.625,0.39,0.499,0.788,0.98,0.02,0.985,0.606,0,0.098,0,86.663,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.797,0.556,1.101,0.908,88.446,4.464,18.765,2.005,6.64,3.515
522,11774,6.056,6.944,4.658,9.083,4.245,9.022,4.239,4.62,94.053,28.807,21.814,29.936,20.983,0.872,2.139,0.467,0.667,0.445,0.47,0.761,0.962,0.038,0.962,0.747,0,0.093,0,115.227,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.95,0.513,1.097,0.911,119.742,4.452,20.612,2.128,7.002,4.613
441,10442,5.348,7.484,5.126,8.27,4.244,7.561,4.278,5.002,94.206,22.467,23.513,25.288,19.131,0.715,1.949,0.513,0.647,0.418,0.566,0.511,0.888,0.112,0.814,0.64,0,0.139,0,89.868,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.613,0.62,1.208,0.828,101.153,4.685,26.142,1.767,10.344,1.862
39,5571,6.969,7.906,6.051,9.823,4.241,9.793,4.377,6.266,131.98,38.144,24.838,39.657,24.076,0.881,2.316,0.432,0.709,0.503,0.447,0.777,0.962,0.038,0.969,0.916,0,0.089,0,152.577,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.623,0.616,1.427,0.701,158.626,5.146,17.143,2.238,8.487,4.505
